guidance_id,bmi_category,food_name,food_group,calories_kcal,carbs_g,sugar_g,sodium_mg,suitability_score,recommendation_level,guidance_note
BFG00001,Underweight,Red Rice,grain,210,45,1,5,70,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00002,Overweight,Green Tea,beverage,2,0,0,5,105,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00003,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00004,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00005,Healthy,Lentil Curry,legume,180,28,3,260,72,Use with caution,Maintain balanced portions and variety.
BFG00006,Overweight,Ceylon Tea,beverage,5,1,0,2,103,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00007,Obese,Spinach Curry,leafy vegetable,90,8,2,120,80,Recommended,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00008,Underweight,Banana,fruit,105,27,14,1,60,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00009,Underweight,Orange Juice,beverage,110,26,21,2,72,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00010,Overweight,Avocado,fruit,240,12,1,10,50,Use with caution,"Prefer lower-calorie, high-fiber options and control portions."
BFG00011,Obese,Milk,dairy drink,150,12,12,120,7,Limit/Avoid,"Choose low-sugar, low-calorie alternatives and monitor portion size."
BFG00012,Overweight,Cucumber Salad,vegetable,25,5,2,5,106,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
BFG00013,Underweight,Coconut Roti,grain,300,42,4,210,50,Use with caution,Prioritize nutrient-dense foods and adequate calories.
BFG00014,Healthy,White Rice,grain,240,53,0,2,45,Use with caution,Maintain balanced portions and variety.
BFG00015,Overweight,Spinach Curry,leafy vegetable,90,8,2,120,75,Recommended,"Prefer lower-calorie, high-fiber options and control portions."
