rule_id,supplement_category,target_goal,ingredient_keyword,form,recommended_time,with_meal,frequency_per_day,dose_instruction,duration_weeks,avoid_with,spacing_rule,safety_note,tracking_frequency,expected_result_window,adherence_tip
SR0001,Performance,Immunity,creatine monohydrate,liquid,Morning,No,1,3-5g daily,6,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Review progress weekly
SR0002,Digestive,Heart Health,probiotic,capsule,Before breakfast,Optional,1,Follow label dosage,4,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Take it at the same time every day
SR0003,Collagen Protein,Fat Loss,vitamin c,capsule,After breakfast,Optional,1,1 serving with water,16,Check allergy source such as fish/bovine collagen,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for skin/joint support,Set a daily reminder in the app
SR0004,Performance,Digestive Health,pre workout blend,softgel,Before workout,No,1,1 serving 20-30 minutes before workout,12,Avoid high caffeine intake at night,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for strength support,Stop and report side effects
SR0005,Performance,Immunity,citrulline malate,capsule,Morning,No,1,3-5g daily,12,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Take it at the same time every day
SR0006,Performance,Arms,pre workout blend,liquid,Any time daily,No,1,1 serving 20-30 minutes before workout,6,Consult doctor if kidney disease exists,Avoid within 6 hours of bedtime,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,2-6 weeks for strength support,Review progress weekly
SR0007,BCAA,Immunity,leucine,tablet,During workout,No,2,Follow label dosage,8,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Set a daily reminder in the app
SR0008,Omega-3,Immunity,fish oil,softgel,After dinner,Yes,1,1-2 softgels daily with food,16,Use caution with blood thinning medications,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for heart health support,Take it at the same time every day
SR0009,Vitamin,Arms,vitamin c,capsule,After breakfast,Yes,2,1 capsule daily,16,Check duplicate vitamins from other products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,4-12 weeks for wellness support,Set a daily reminder in the app
SR0010,Protein,Recovery,whey protein,gel,After workout,Optional,2,1 scoop with water or milk,12,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,8-12 weeks for muscle gain support,Review progress weekly
SR0011,Protein,Strength,whey protein,softgel,Evening,Yes,1,1 serving after workout,8,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for muscle gain support,Review progress weekly
SR0012,BCAA,Heart Health,bcaa,gel,Before workout,No,1,1 scoop with water,6,Avoid duplicate amino acid products,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for recovery support,Stop and report side effects
SR0013,Protein,Body Building,whey protein,liquid,Morning,Yes,1,1 scoop with water or milk,8,Avoid if lactose intolerant unless using plant protein,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Review progress weekly
SR0014,BCAA,Arms,leucine,gel,Before workout,No,1,Follow label dosage,8,Use carefully with liver/kidney conditions,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for recovery support,Log missed doses honestly
SR0015,Digestive,Energy Boost,lactobacillus,powder,Before meal,No,1,1 capsule before meal,4,Use caution if immunocompromised,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,2-6 weeks for digestive support,Review progress weekly
SR0016,Mineral,Body Building,iron,gel,Morning,Yes,1,1 tablet daily,8,Separate calcium/iron from levothyroxine by 4 hours,"Keep 2 hours away from calcium, tea, or coffee",Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for deficiency support,Stop and report side effects
SR0017,Mineral,Body Building,calcium,powder,Between meals,No,1,Take as directed on label,12,Do not take iron with calcium or tea,Keep 4 hours away from levothyroxine,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for deficiency support,Log missed doses honestly
SR0018,Digestive,Skin Health,bifidobacterium,powder,Before meal,Optional,1,1 capsule daily,4,Stop if severe stomach discomfort occurs,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for digestive support,Take it at the same time every day
SR0019,Joint Support,Body Building,turmeric,softgel,After breakfast,Yes,1,Follow label dosage,12,Use caution with blood thinners,Use caution with blood-thinning medication,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Weekly,8-12 weeks for joint comfort support,Set a daily reminder in the app
SR0020,Joint Support,Arms,glucosamine,softgel,After breakfast,Yes,1,Follow label dosage,12,Check shellfish allergy for glucosamine,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,8-12 weeks for joint comfort support,Stop and report side effects
SR0021,Protein,Strength,pea protein,capsule,Morning,Yes,1,1 scoop daily,10,Avoid excessive intake with kidney disease,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Every 2 days,4-8 weeks for recovery improvement,Set a daily reminder in the app
SR0022,General Wellness,Heart Health,multivitamin,gel,Evening,Optional,1,Follow label dosage,8,Do not combine duplicate ingredients,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,4-8 weeks for general wellness support,Review progress weekly
SR0023,Performance,Joint Support,beta alanine,gel,Before workout,Optional,1,3-5g daily,8,Avoid high caffeine intake at night,No special spacing required,Decision-support only; consult a healthcare professional if taking medications or having a disease.,Daily,2-6 weeks for strength support,Stop and report side effects
