interaction_id,medicine,supplement_ingredient,interaction_risk,severity,recommendation
I0001,Warfarin,omega-3 EPA DHA,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0002,Warfarin,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0003,Warfarin,green tea extract,May affect anticoagulant control,Moderate,Use only with professional advice
I0004,Aspirin,omega-3 EPA DHA,Bleeding risk may increase,Moderate,Monitor and consult healthcare professional
I0005,Clopidogrel,curcumin,Bleeding risk may increase,High,Avoid or consult healthcare professional
I0006,Levothyroxine,calcium,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0007,Levothyroxine,iron ferrous bisglycinate,Reduced thyroid medicine absorption,High,Separate intake by 4 hours
I0008,Metformin,green tea extract,May affect glucose control,Moderate,Monitor blood glucose
I0009,Insulin,caffeine,May affect glucose response,Moderate,Monitor blood glucose
I0010,Glipizide,green tea extract,Hypoglycemia risk may change,Moderate,Monitor blood glucose
I0011,Amlodipine,magnesium,May enhance blood-pressure lowering,Low,Monitor blood pressure
I0012,Lisinopril,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0013,Losartan,potassium,Hyperkalemia risk may increase,High,Avoid high-potassium supplements unless prescribed
I0014,Hydrochlorothiazide,calcium,Calcium level may increase,Moderate,Monitor calcium levels
I0015,Atorvastatin,green tea extract,Liver-related risk may increase in sensitive users,Moderate,Use with caution
I0016,Simvastatin,niacin,Muscle/liver adverse effect risk may increase,High,Avoid high-dose niacin unless prescribed
I0017,Omeprazole,iron ferrous bisglycinate,Reduced iron absorption possible,Moderate,Review timing and need
I0018,Ibuprofen,curcumin,Bleeding/stomach irritation risk may increase,Moderate,Use with caution
I0019,Methotrexate,vitamin A,Liver toxicity risk may increase,High,Avoid high-dose vitamin A
I0020,Furosemide,magnesium,Electrolyte imbalance may occur,Moderate,Monitor electrolytes
I0021,Spironolactone,potassium,Hyperkalemia risk may increase,High,Avoid potassium supplements
I0022,Alendronate,calcium,Reduced alendronate absorption,High,Separate intake as directed
