interaction_id,medicine_1_name,medicine_1_active_ingredient,medicine_1_class,medicine_2_name,medicine_2_active_ingredient,medicine_2_class,interaction_risk,severity,risk_score,mechanism,recommendation,source_type,evidence_level
DDI00001,Insulin Regular,Insulin,Antidiabetic,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,17,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00002,Simva 20 Tablet,Simvastatin,Statin,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,34,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00003,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,13,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00004,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Warf 5 Tablet,Warfarin,Anticoagulant,Safe,Low,34,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00005,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Clopidogrel 75mg Tablet,Clopidogrel,Antiplatelet,Safe,Low,0,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00006,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Safe,Low,13,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00007,Metformin 500mg Tablet,Metformin,Antidiabetic,Omeprazole 20mg Capsule,Omeprazole,PPI,Safe,Low,22,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00008,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Cipro 500 Tablet,Ciprofloxacin,Antibiotic,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00009,Losar 50 Tablet,Losartan,ARB,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Safe,Low,23,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00010,Metformin 500mg Tablet,Metformin,Antidiabetic,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,18,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00011,Digoxin 0.25mg Tablet,Digoxin,Cardiac glycoside,Atorva 20 Tablet,Atorvastatin,Statin,Safe,Low,29,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00012,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Ibu 400 Tablet,Ibuprofen,NSAID,Safe,Low,4,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00013,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00014,Doxycycline 100mg Capsule,Doxycycline,Antibiotic,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,20,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,high
DDI00015,Phenytoin 100mg Capsule,Phenytoin,Anticonvulsant,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Safe,Low,25,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00016,Ibu 400 Tablet,Ibuprofen,NSAID,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Moderate,Moderate,46,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,synthetic_model,medium
DDI00017,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Safe,Low,9,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00018,Paracetamol 500mg Tablet,Acetaminophen,Analgesic,Azithromycin 500mg Tablet,Azithromycin,Antibiotic,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00019,Omeprazole 20mg Capsule,Omeprazole,PPI,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Safe,Low,8,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
DDI00020,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Andol 0.5mg Tablet,Alprazolam,Benzodiazepine,Moderate,Moderate,60,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI00021,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Prednisolone 5mg Tablet,Prednisolone,Corticosteroid,Safe,Low,24,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,low
DDI00022,Amlodipine 5mg Tablet,Amlodipine,Calcium channel blocker,Furosemide 40mg Tablet,Furosemide,Diuretic,Moderate,Moderate,61,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,low
DDI00023,Enalapril 5mg Tablet,Enalapril,ACE inhibitor,Furosemide 40mg Tablet,Furosemide,Diuretic,Safe,Low,21,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,medium
DDI00024,Amoxicillin 500mg Capsule,Amoxicillin,Antibiotic,Thyrox 50mcg Tablet,Levothyroxine,Thyroid hormone,Safe,Low,16,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00025,Hydrochlorothiazide 25mg Tablet,Hydrochlorothiazide,Diuretic,Atorva 20 Tablet,Atorvastatin,Statin,Moderate,Moderate,60,Potential additive side-effect risk based on medicine class,Use with caution and consult pharmacist if unsure,rule_based,high
DDI00026,Cetirizine 10mg Tablet,Cetirizine,Antihistamine,Fluconazole 150mg Tablet,Fluconazole,Antifungal,Safe,Low,33,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,rule_based,low
DDI00027,Aspirin 75mg Tablet,Aspirin,Antiplatelet,Sertraline 50mg Tablet,Sertraline,SSRI,Safe,Low,23,No major interaction rule found in prototype dataset,Continue as prescribed and monitor unusual symptoms,synthetic_model,high
