drug_name,drug_contains,food_name,severity_silver,reason_tags_silver,severity_gold,reason_tags_gold,reference_source
Avomine Tablet,Promethazine (25mg),Sweet Potato (1 medium baked),0,,,,
AB-Flo Capsule,Acebrophylline (100mg),Black Pepper (1/2 tsp),0,,,,
Avanair 100 Tablet,Avanafil (100mg),Pecans (1 oz),1,high_fat_empty_stomach,,,
Avanair 100 Tablet,Avanafil (100mg),"BISCUIT, LEMON PUFF",1,high_fat_empty_stomach,,,
Amitone 10mg Tablet,Amitriptyline (10mg),"LIQUOR, TODDY, PALMYRA",2,cns_alcohol,,,
Acogut Tablet,Acotiamide (100mg),"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED, W/ COCONUT MILK",1,high_fat_empty_stomach,,,
Aromasin 25mg Tablet,Exemestane (25mg),Fish Sauce (1 tsp),0,,,,
Atorlip-F Tablet,Atorvastatin (10mg)+ Fenofibrate (145mg),Coconut Milk Gravy,1,high_fat_empty_stomach,,,
Atorlip-F Tablet,Atorvastatin (10mg)+ Fenofibrate (145mg),COCKTAIL MIX,1,high_fat_empty_stomach,,,
Augmentin 1000 Duo Tablet,Amoxycillin (875mg)+ Clavulanic Acid (125mg),"SALAYA SARDINELLA, FRESH, TEMPERED",1,calcium_antibiotic,,,
Aromasin 25mg Tablet,Exemestane (25mg),Sweet Chili Sauce (2 tbsp),0,,,,
Akt 4 Kit,Isoniazid (300mg)+ Rifampicin (450mg)+ Ethambutol (800mg)+ Pyrazinamide (750mg),"BEEF AND VEGETABLE, NFS, LIGHT TEMPERED, W/ COCONUT MILK",0,,,,
Atorva 40 Tablet,Atorvastatin (40mg),Garlic Murukku,1,high_fat_empty_stomach,,,
Actorise 40 Injection,Darbepoetin alfa (40mcg),Chocolate Pudding (1/2 cup),0,,,,
Amlong Tablet,Amlodipine (5mg),Panettone (1 slice),0,,,,
Alex-L Cough Syrup Mango,Levocloperastine (20mg/5ml),"PUMPKIN LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT",0,,,,
Atorva Tablet,Atorvastatin (10mg),"AMBARELLA, TEMPERED, W/ COCONUT MILK",1,high_fat_empty_stomach,,,
Arachitol 6L Injection,Vitamin D3 (600000IU),Tea (made from instant black tea powder),0,,,,
Amixide-H Tablet,Amitriptyline (12.5mg)+ Chlordiazepoxide (5mg),Beer,2,cns_alcohol,,,
Amaryl M 2mg Tablet PR,Glimepiride (2mg)+ Metformin (500mg),Chickpeas (1/2 cup canned),0,,,,
Altraday Capsule SR,Aceclofenac (200mg)+ Rabeprazole (20mg),Hoisin Sauce (1 tbsp),0,,,,
Ambrodil Syrup,Ambroxol (30mg/5ml),Turkey Chili (1 cup),0,,,,
Amlopres-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),"PLANTAIN STEM, TEMPERED, W/ COCONUT MILK",0,,,,
Amlokind-AT Tablet,Amlodipine (5mg)+ Atenolol (50mg),Grilled Cheese Sandwich,1,high_fat_empty_stomach,,,
Althrocin 500 Tablet,Erythromycin (500mg),Saltimbocca (1 serving),1,high_fat_empty_stomach,,,
Aciloc RD 20 Tablet,Domperidone (10mg)+ Omeprazole (20mg),"CASSAVA LEAVES, TEMPERED MALLUM W/ SCRAPED COCONUT ",1,high_fat_empty_stomach,,,
Avanair 100 Tablet,Avanafil (100mg),Coconut Sambol (without coconut oil),1,high_fat_empty_stomach,,,
Acenac-MR Tablet,Thiocolchicoside (4mg)+ Aceclofenac (100mg)+ Paracetamol (325mg),"JACK MACKEREL, CANNED, TEMPERED",0,,,,
AB Phylline Capsule,Acebrophylline (100mg),Basil (fresh garnish),0,,,,
Acogut 300 ER Tablet,Acotiamide (300mg),Kimchi Jjigae (1 bowl),1,high_fat_empty_stomach,,,
