supplement_id,name,category,target_goal,ingredients,dosage,price_range,brand,size,form,price_lkr,price_range_lkr,currency,store_name,price_source,last_checked,data_type,price_note,rating
S0001,CeyFit Iron Supplement Ultra,Mineral,Energy Boost,iron ferrous bisglycinate,1 tablet between meals,Medium,NOW Foods,60-120 count,tablet,7300,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0002,ProNutra Probiotic Complex Pro,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,Medium,Nutricost,60-120 count,capsule,7900,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.8
S0003,FitCore Omega-3 Fish Oil Pro,Fatty Acid,Heart Health,omega-3 EPA DHA; fish oil,1 softgel with meal,Medium,NOW Foods,60-120 count,softgel,10500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0004,BioActive Electrolyte Mix Pro,Hydration,Endurance,sodium; potassium; magnesium,during workout,Low,Applied Nutrition,1 serving-300g,powder,2500,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0005,ActiveFuel Calcium Magnesium Zinc Plus,Mineral,Bone Health,calcium; magnesium; zinc,1 tablet after meal,Medium,Generic Wellness,60-120 count,tablet,4100,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0006,PureForm Probiotic Complex Advanced,Digestive,General Wellness,lactobacillus; bifidobacterium,1 capsule before meal,Low,Nutricost,60-120 count,capsule,4100,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0007,OptiWell BCAA,Amino Acid,Recovery,leucine; isoleucine; valine,5-10g during/after workout,Low,Generic Amino,300g-500g,powder,9500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.5
S0008,CeyFit Glucosamine Chondroitin Advanced,Joint,Joint Support,glucosamine; chondroitin,1 tablet with meal,High,Generic Joint Support,60-120 count,tablet,15400,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4
S0009,StrongLife Collagen Peptides Ultra,Protein,General Wellness,collagen peptides; vitamin C,1 scoop daily,High,Generic Sports Nutrition,2lb-5lb,powder,17500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0010,NutriMax Beta-Alanine Advanced,Performance,Endurance,beta-alanine,2-3g daily,Low,Cellucor,300g-500g,powder,8300,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
S0011,StrongLife L-Carnitine Advanced,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Medium,Generic Amino,300g-500g,powder,12500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.6
S0012,CeyFit Pre-Workout Caffeine Ultra,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Medium,Nutricost,300g-500g,powder,13000,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.2
S0013,BioActive Casein Protein Plus,Protein,Recovery,casein protein,1 scoop before sleep,Low,Mutant,2lb-5lb,powder,42500,25000-50000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0014,WellGen Ashwagandha Pro,Herbal,Recovery,ashwagandha extract,1 capsule evening,Medium,Himalaya,60-120 count,capsule,11300,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0015,CeyFit Turmeric Curcumin,Herbal,Joint Support,curcumin; black pepper extract,1 capsule with meal,Medium,NOW Foods,60-120 count,capsule,6000,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.4
S0016,ProNutra Pre-Workout Caffeine Plus,Performance,Energy Boost,caffeine; beta-alanine; citrulline,30 min before workout,Low,Cellucor,300g-500g,powder,6100,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.6
S0017,FitCore Iron Supplement,Mineral,General Wellness,iron ferrous bisglycinate,1 tablet between meals,Low,Generic Wellness,60-120 count,tablet,2100,0-5000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.3
S0018,FitCore L-Carnitine Pro,Amino Acid,Weight Loss,L-carnitine,1 serving before workout,Medium,BPI,300g-500g,powder,15500,10000-25000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,3.7
S0019,ActiveFuel Ashwagandha Plus,Herbal,Recovery,ashwagandha extract,1 capsule evening,Medium,Nutricost,60-120 count,capsule,6500,5000-10000,LKR,Sri Lankan Supplement Market,Estimated from Sri Lankan online supplement store price ranges,2026-05-06,synthetic_with_sri_lankan_price_estimate,Prototype estimate; verify exact live price before real purchase,4.1
